
timestamp_ms,U1_raw,M1_raw,L1_raw,L2_raw,U2_raw,U1_g,M1_g,L1_g,L2_g,U2_g
21250,0,0,0,0,0,0,0,0,0,0
21300,0,0,0,0,0,0,0,0,0,0
21350,0,0,0,0,0,0,0,0,0,0
21400,0,0,0,0,0,0,0,0,0,0
21450,0,0,0,0,0,0,0,0,0,0
21500,0,0,0,0,0,0,0,0,0,0
21550,0,0,0,0,0,0,0,0,0,0
21600,0,0,0,0,0,0,0,0,0,0
21650,0,0,0,0,0,0,0,0,0,0
21700,0,0,0,0,0,0,0,0,0,0
21750,0,0,0,0,0,0,0,0,0,0
21800,0,0,0,0,0,0,0,0,0,0
21850,0,0,0,0,0,0,0,0,0,0
21900,0,0,0,0,0,0,0,0,0,0
21950,0,0,0,0,0,0,0,0,0,0
22000,0,0,0,0,0,0,0,0,0,0
22050,0,0,0,0,0,0,0,0,0,0
22100,0,0,0,0,0,0,0,0,0,0
22150,0,0,0,0,0,0,0,0,0,0
22200,0,0,0,0,0,0,0,0,0,0
22250,0,0,0,0,0,0,0,0,0,0
22300,0,0,0,0,0,0,0,0,0,0
22350,0,0,0,0,0,0,0,0,0,0
22400,0,0,0,0,0,0,0,0,0,0
22450,0,0,0,0,0,0,0,0,0,0
22500,0,0,0,0,0,0,0,0,0,0
22550,0,0,0,0,0,0,0,0,0,0
22600,0,0,0,0,0,0,0,0,0,0
22650,0,0,0,0,0,0,0,0,0,0
22700,0,0,0,0,0,0,0,0,0,0
22750,0,0,0,0,0,0,0,0,0,0
22800,0,0,0,0,0,0,0,0,0,0
22850,0,0,0,0,0,0,0,0,0,0
22900,0,0,0,0,0,0,0,0,0,0
22950,0,0,0,0,0,0,0,0,0,0
23000,0,0,0,0,0,0,0,0,0,0
23050,0,0,0,0,0,0,0,0,0,0
23100,0,0,0,0,0,0,0,0,0,0
23150,0,0,0,0,0,0,0,0,0,0
23200,0,0,0,0,0,0,0,0,0,0
23250,0,0,0,0,0,0,0,0,0,0
23300,0,0,0,0,0,0,0,0,0,0
23350,0,0,0,0,0,0,0,0,0,0
23400,0,0,0,0,0,0,0,0,0,0
23450,0,0,0,0,0,0,0,0,0,0
23500,0,0,0,0,0,0,0,0,0,0
23550,0,0,0,0,0,0,0,0,0,0
23600,0,0,0,0,0,0,0,0,0,0
23650,0,0,0,0,0,0,0,0,0,0
23700,0,0,0,0,0,0,0,0,0,0
23750,0,0,0,0,0,0,0,0,0,0
23800,0,0,0,0,0,0,0,0,0,0
23850,0,0,0,0,0,0,0,0,0,0
23900,0,0,0,0,0,0,0,0,0,0
23950,0,0,0,0,0,0,0,0,0,0
24000,0,0,0,0,0,0,0,0,0,0
24050,0,0,0,0,0,0,0,0,0,0
24100,0,0,0,0,0,0,0,0,0,0
24150,0,0,0,0,0,0,0,0,0,0
24200,0,0,0,0,0,0,0,0,0,0
24250,563,0,0,0,0,16,0,0,0,0
24300,1845,0,0,0,0,82,0,0,0,0
24350,2276,0,715,0,0,125,0,21,0,0
24400,2678,0,979,0,0,189,0,31,0,0
24450,2989,0,1586,0,0,270,0,63,0,0
24500,3176,0,2083,29,0,346,0,104,0,0
24550,3261,0,2356,852,0,391,0,135,26,0
24600,3298,0,2444,1427,0,414,0,148,53,0
24650,3313,0,2480,1539,0,424,0,154,60,0
24700,3367,0,2499,1566,0,462,0,157,62,0
24750,3413,0,2575,1621,0,500,0,169,66,0
24800,3420,0,2565,1686,0,507,0,168,70,0
24850,3449,0,2622,1763,0,534,0,178,76,0
24900,3426,0,2695,1844,0,512,0,193,82,0
24950,3331,0,2730,2057,0,436,0,200,101,0
25000,3193,0,2726,2116,0,354,0,199,107,0
25050,3010,0,2789,2215,0,277,0,214,118,0
25100,2567,0,3013,2410,0,168,0,278,143,0
25150,2251,0,3067,2490,0,122,0,298,155,0
25200,2049,0,3141,2592,0,100,0,329,172,0
25250,1343,0,3250,2734,0,49,0,385,201,0
25300,552,0,3304,2827,0,16,0,418,223,0
25350,439,0,3381,2892,0,12,0,474,240,0
25400,0,0,3437,2971,0,0,0,522,264,0
25450,0,0,3507,3030,0,0,0,596,285,0
25500,0,0,3534,3062,0,0,0,630,296,0
25550,1259,0,3544,3072,0,44,0,643,300,0
25600,2173,0,3439,2991,0,113,0,524,271,0
25650,2485,0,3250,2781,0,154,0,385,212,0
25700,2819,0,2995,2524,0,221,0,272,161,0
25750,2978,0,2763,2281,0,267,0,207,126,0
25800,3081,333,2627,1867,0,304,0,179,84,0
25850,3190,412,2443,1444,0,352,11,148,54,0
25900,3260,347,2408,1259,0,390,0,143,44,0
25950,3231,0,2666,1920,0,374,0,187,88,0
26000,2923,0,3324,2820,0,249,0,431,221,0
26050,2244,0,3572,3063,0,121,0,683,297,0
26100,562,0,3616,3114,0,16,0,755,317,0
26150,0,0,3643,3149,0,0,0,806,333,0
26200,0,0,3649,3150,0,0,0,818,333,0
26250,0,0,3644,3144,0,0,0,808,331,0
26300,419,0,3637,3120,0,11,0,794,320,0
26350,2130,0,3538,3022,0,108,0,635,282,0
26400,2615,0,3340,2803,0,177,0,442,217,0
26450,3039,0,3024,2412,0,288,0,282,143,0
26500,3220,0,2816,1878,0,368,0,220,85,0
26550,3345,366,2487,962,0,446,0,155,31,0
26600,3438,341,2305,0,0,523,0,129,0,0
26650,3459,0,2254,0,0,544,0,122,0,0
26700,3387,0,2465,1022,0,478,0,151,33,0
26750,3043,0,3088,2503,0,289,0,307,157,0
26800,2364,0,3413,2949,0,137,0,500,257,0
26850,1443,0,3515,3042,0,54,0,606,289,0
26900,0,0,3577,3102,0,0,0,691,312,0
26950,0,0,3636,3169,0,0,0,792,342,0
27000,0,0,3671,3204,0,0,0,866,360,0
27050,0,0,3697,3218,0,0,0,929,367,0
27100,557,0,3652,3179,0,16,0,824,347,0
27150,2390,0,3486,3031,0,140,0,572,285,0
27200,2571,0,3286,2805,0,169,0,406,217,0
27250,3030,0,2972,2393,0,285,0,265,141,0
27300,3203,471,2652,1775,0,359,13,184,77,0
27350,3277,740,2276,198,0,401,22,125,0,0
27400,3386,747,1530,0,0,478,22,60,0,0
27450,3444,584,1105,0,0,529,17,37,0,0
27500,3499,0,378,0,0,587,0,10,0,0
27550,3466,0,1118,0,0,551,0,38,0,0
27600,3248,0,1897,0,0,383,0,86,0,0
27650,3009,0,2207,320,0,277,0,117,0,0
27700,3007,0,2266,394,0,276,0,124,11,0
27750,3029,0,1827,0,0,284,0,81,0,0
27800,3170,0,1581,0,0,343,0,63,0,0
27850,3206,0,1176,0,0,361,0,40,0,0
27900,3214,0,498,0,0,365,0,14,0,0
27950,2982,0,286,0,0,268,0,0,0,0
28000,2296,0,1616,0,0,128,0,65,0,0
28050,1124,0,1800,0,0,38,0,78,0,0
28100,0,0,729,0,0,0,0,22,0,0
28150,0,0,296,0,0,0,0,0,0,0
28200,0,0,396,0,0,0,0,11,0,0
28250,0,0,1052,0,0,0,0,35,0,0
28300,0,0,1993,823,0,0,0,95,25,0
28350,0,0,2381,1442,0,0,0,139,54,0
28400,0,0,2614,2016,0,0,0,177,97,0
28450,0,0,2799,2356,0,0,0,216,135,0
28500,0,0,3015,2576,0,0,0,279,170,0
28550,224,0,3106,2680,0,0,0,314,189,0
28600,1539,0,3298,2858,0,60,0,414,231,0
28650,2143,0,3414,2965,0,110,0,501,262,0
28700,2212,0,3485,3035,0,117,0,571,286,0
28750,2207,0,3532,3075,0,117,0,627,301,0
28800,2272,0,3572,3104,0,125,0,683,313,0
28850,2354,0,3566,3087,0,135,0,674,306,0
28900,2781,0,3409,2940,0,212,0,497,255,0
28950,3099,0,3167,2674,0,311,0,341,188,0
29000,3185,324,3024,2431,0,350,0,282,146,0
29050,3250,757,3027,2428,0,385,23,283,146,0
29100,3313,1114,3081,2438,0,424,37,304,147,0
29150,3341,1247,3107,2439,0,443,44,314,147,0
29200,3386,1273,2954,2271,0,478,45,259,125,0
29250,3429,1124,2612,1534,0,515,38,176,60,0
29300,3449,0,1882,0,0,534,0,85,0,0
29350,3463,0,290,0,0,548,0,0,0,0
29400,3367,0,0,0,0,462,0,0,0,0
29450,3243,0,0,0,0,381,0,0,0,0
29500,3065,0,0,0,0,298,0,0,0,0
29550,2605,0,168,0,0,175,0,0,0,0
29600,1636,0,576,0,0,67,0,16,0,0
29650,149,0,885,0,0,0,0,28,0,0
29700,0,0,928,0,0,0,0,29,0,0
29750,0,0,1026,0,0,0,0,33,0,0
29800,0,0,1314,0,0,0,0,47,0,0
29850,0,0,1817,0,0,0,0,80,0,0
29900,0,0,2450,1359,0,0,0,149,50,0
29950,0,0,2816,2135,0,0,0,220,109,0
30000,0,0,3034,2427,0,0,0,286,146,0
30050,0,0,3158,2562,0,0,0,337,167,0
30100,0,0,3289,2713,0,0,0,408,196,0
30150,0,0,3393,2865,0,0,0,483,233,0
30200,836,0,3493,3003,0,26,0,580,275,0
30250,1619,0,3551,3060,0,65,0,653,296,0
30300,1958,0,3554,3058,0,92,0,657,295,0
30350,2009,0,3520,3027,0,96,0,612,283,0
30400,2370,0,3423,2886,0,137,0,509,239,0
30450,2942,0,3337,2790,0,255,0,440,214,0
30500,3200,0,3243,2663,0,358,0,381,186,0
30550,3415,0,3038,2396,0,502,0,287,141,0
30600,3564,0,2788,1809,0,671,0,213,79,0
30650,3657,0,2461,508,0,835,0,151,14,0
30700,3723,0,1765,0,0,1001,0,76,0,0
30750,3753,0,854,0,0,1097,0,26,0,0
30800,3751,0,423,0,0,1090,0,12,0,0
30850,3729,0,637,0,0,1019,0,18,0,0
30900,3700,0,1274,0,0,937,0,45,0,0
30950,3633,0,876,0,0,786,0,27,0,0
31000,3413,0,0,0,0,500,0,0,0,0
31050,3023,0,0,0,0,282,0,0,0,0
31100,2506,0,298,0,0,158,0,0,0,0
31150,1420,0,805,0,0,53,0,24,0,0
31200,44,0,880,0,0,0,0,27,0,0
31250,0,0,882,0,0,0,0,27,0,0
31300,0,0,800,0,0,0,0,24,0,0
31350,0,0,891,0,0,0,0,28,0,0
31400,0,0,1041,0,0,0,0,34,0,0
31450,0,0,1333,0,0,0,0,48,0,0
31500,0,0,2045,471,0,0,0,100,13,0
31550,0,0,2408,1424,0,0,0,143,53,0
31600,0,0,2842,2253,0,0,0,227,122,0
31650,0,0,3134,2630,0,0,0,326,180,0
31700,0,0,3275,2766,0,0,0,399,208,0
31750,200,0,3409,2919,0,0,0,497,248,0
31800,867,0,3549,3071,0,27,0,650,300,0
31850,1234,0,3619,3138,0,43,0,760,328,0
31900,1529,0,3658,3161,0,60,0,837,338,0
31950,2088,0,3686,3187,0,104,0,901,351,0
32000,2269,0,3703,3191,0,124,0,945,353,0
32050,2279,0,3704,3193,0,125,0,947,354,0
32100,2313,0,3657,3166,0,130,0,835,341,0
32150,2782,8,3506,3013,0,212,0,595,278,0
32200,3072,1054,3354,2817,0,300,35,453,220,0
32250,3246,1377,3236,2700,0,382,51,377,194,0
32300,3390,1539,3001,2344,0,481,60,274,134,0
32350,3499,1512,2694,1638,0,587,59,192,67,0
32400,3583,1415,2391,0,0,700,53,140,0,0
32450,3590,1326,2156,0,0,711,48,111,0,0
32500,3621,1140,1674,0,0,764,39,69,0,0
32550,3622,863,1007,0,0,766,27,33,0,0
32600,3623,7,0,0,0,768,0,0,0,0
32650,3540,0,0,0,0,638,0,0,0,0
32700,3381,0,0,0,0,474,0,0,0,0
32750,2938,0,0,0,0,254,0,0,0,0
32800,2349,0,1461,0,0,135,0,55,0,0
32850,619,0,914,0,0,18,0,29,0,0
32900,0,0,322,0,0,0,0,0,0,0
32950,0,0,302,0,0,0,0,0,0,0
33000,0,0,300,0,0,0,0,0,0,0
33050,0,0,444,0,0,0,0,12,0,0
33100,0,0,555,0,0,0,0,16,0,0
33150,0,0,939,0,0,0,0,30,0,0
33200,0,0,1254,0,0,0,0,44,0,0
33250,0,0,2076,866,0,0,0,103,27,0
33300,0,0,2556,1646,0,0,0,166,67,0
33350,0,0,2964,2485,0,0,0,262,154,0
33400,0,0,3183,2680,0,0,0,349,189,0
33450,0,0,3346,2868,0,0,0,447,234,0
33500,0,0,3445,2967,0,0,0,530,263,0
33550,0,0,3535,3095,0,0,0,631,310,0
33600,1261,0,3588,3151,0,44,0,708,334,0
33650,1842,0,3612,3160,0,82,0,748,338,0
33700,2037,0,3623,3161,0,99,0,768,338,0
